Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
-10.5054245,18.838194,-20.442944,29.717932,259.79826388888887,24.769978,42.566376,404.97595,1.6806484,-11.148073,0.0,406.07712,0.1068143,2023-09-16 19:09:30
-13.6152115,21.60895,-14.573194,29.40576,259.79895833333336,25.325024,47.27902,390.16565,13.366709,9.124474,0.0,391.20642,0.13760354,2023-09-16 19:10:30
-11.614736,24.03428,-14.035888,30.158829,259.7996527777778,23.938046,44.724888,398.82816,39.3388,27.614733,0.0,401.83417,0.110653706,2023-09-16 19:11:30
-17.18838,22.40719,-11.324822,30.426537,259.80034722222223,23.89246,44.638588,376.27612,28.508226,37.19111,0.0,379.35452,0.10808973,2023-09-16 19:12:30
-16.474392,22.424505,-11.522481,30.116966,259.80104166666666,24.57694,43.759434,385.53366,36.34455,37.10871,0.0,389.35715,0.10905772,2023-09-16 19:13:30
-14.139639,21.269432,-15.755709,30.00934,259.8017361111111,31.893631,47.248833,379.13724,42.927063,49.99318,0.1068338839745973,385.19788,0.1661808,2023-09-16 19:14:30
-15.893871,19.906029,-16.123726,30.146967,259.80243055555553,30.874197,45.738907,385.20438,29.012522,49.650806,1.0,389.50934,0.14937833,2023-09-16 19:15:30
-21.301533,15.761736,-13.4179735,29.70235,259.803125,30.134691,46.101185,366.41452,25.10806,60.40048,1.0,372.61038,0.15258677,2023-09-16 19:16:30
-22.695692,12.169972,-15.395974,30.003977,259.80381944444446,31.761232,50.86664,362.04236,1.5072846,39.202427,1.0,364.26736,0.19187279,2023-09-16 19:17:30
-17.241383,17.484049,-17.869925,30.369251,259.8045138888889,28.521032,46.156715,381.5023,36.66754,53.3645,1.0,387.1351,0.13847598,2023-09-16 19:18:30
-17.49413,13.076054,-20.411203,29.893894,259.8052083333333,29.212034,51.709267,372.99954,6.327945,26.600983,0.3780230000897671,374.65375,0.18371351,2023-09-16 19:19:30
-6.504201,14.08626,-20.150457,25.431639,259.80590277777776,27.910677,49.20639,444.1845,36.385227,43.05034,0.0,449.41824,0.21962024,2023-09-16 19:20:30
6.891427,18.105015,-22.141968,29.420233,259.8065972222222,24.4523,47.093407,477.79965,32.010635,33.232933,1.0,480.02652,0.13169079,2023-09-16 19:21:30
6.2816157,18.529581,-22.944422,30.153782,259.8072916666667,38.571045,75.69617,463.48343,17.817389,11.760001,0.0,464.01184,0.5108968,2023-09-16 19:22:30
2.193145,23.049093,-16.91681,28.674885,259.8079861111111,26.078756,45.13561,440.36157,41.74381,27.733664,0.2050259291926904,443.30374,0.13580936,2023-09-16 19:23:30
-13.589443,9.371647,-24.517063,29.556507,259.80868055555555,23.3625,28.939327,536.02057,113.22586,228.19781,0.64921194771727,614.88464,0.04707579,2023-09-16 19:24:30
-17.953182,-0.05713774,-22.91479,29.110266,259.809375,27.9326,47.524246,371.7166,-55.169575,-4.683367,0.0,376.68265,0.15647939,2023-09-16 19:25:30
