Br,Bt,Bn,B,ddoy,Vr,Vt,Vn,Np,Tp,Vsw,Beta_p,date
8.639842,-5.090461,5.210102,11.300656,50.03366898148148,381.36127,25.871384,-14.1521845,10.484674,2.980318,382.49976,0.098528326,2023-02-19 00:48:29.999997
8.595449,-6.430059,3.6513033,11.338405,50.034375,381.3777,31.407907,-10.647262,10.636246,3.865581,382.81735,0.12878053,2023-02-19 00:49:30.000004
8.853221,-6.2606153,3.699744,11.457004,50.035069444444446,379.4357,32.150616,-8.295499,10.17391,3.8489003,380.88583,0.120124996,2023-02-19 00:50:30.000000
8.297612,-6.845846,3.9171922,11.44816,50.035752314814815,382.87347,35.76705,-10.667266,9.995724,4.137012,384.68887,0.12705174,2023-02-19 00:51:29.999996
8.195926,-6.997909,3.8674536,11.44994,50.036458333333336,385.05933,35.902668,-7.9467125,9.886892,3.0546422,386.8113,0.09276084,2023-02-19 00:52:30.000003
8.189839,-7.050703,3.8267374,11.464284,50.037141203703705,384.91772,35.05407,-9.3724,10.5178175,3.0199034,386.62454,0.09731409,2023-02-19 00:53:29.999999
8.5067625,-6.926054,3.1062665,11.401057,50.037835648148146,381.84204,35.217976,-5.749994,10.673881,3.5326748,383.50653,0.116811804,2023-02-19 00:54:29.999996
7.831271,-7.135075,3.481616,11.15167,50.03854166666667,383.31268,36.383904,-7.960029,10.556603,3.2452803,385.1201,0.110929616,2023-02-19 00:55:30.000002
8.071748,-7.081828,3.1816528,11.199479,50.039224537037036,379.4333,36.640846,-10.036065,10.460641,6.1320934,381.33234,0.2059313,2023-02-19 00:56:29.999999
7.7042174,-7.3371706,3.01253,11.0573225,50.039918981481485,383.35,36.793808,-7.4674664,10.240593,3.717871,385.18448,0.12539217,2023-02-19 00:57:29.999995
7.775142,-7.690912,2.128079,11.141439,50.040625,385.59534,37.08129,-3.9691365,10.120873,3.5605397,387.39545,0.11689668,2023-02-19 00:58:30.000002
8.024707,-7.2613554,2.6315444,11.137694,50.04130787037037,383.4953,34.231915,-5.719693,10.412781,3.3186128,385.0633,0.11217178,2023-02-19 00:59:29.999998
7.771904,-7.584735,2.1678243,11.073851,50.04201388888889,384.33105,36.23955,-3.4937878,10.194651,3.7239592,386.05164,0.12466107,2023-02-19 01:00:30.000004
7.8683968,-7.536678,2.254024,11.1262665,50.04270833333333,382.93726,37.78312,-3.4724882,9.842819,3.4265459,384.8139,0.10970542,2023-02-19 01:01:30.000001
7.7167373,-7.6997647,2.5417569,11.193522,50.043391203703706,383.21323,39.218742,-7.22417,10.106856,4.1520367,385.28275,0.13486356,2023-02-19 01:02:29.999997
7.657232,-7.869692,2.0903015,11.177415,50.04409722222222,382.07352,42.800068,-6.892577,10.724107,4.99395,384.52725,0.17261302,2023-02-19 01:03:30.000004
7.5930862,-8.02197,1.9178863,11.210943,50.04479166666667,382.80032,42.713108,-5.912661,9.92214,5.6352563,385.2233,0.17913714,2023-02-19 01:04:30.000000
6.9463863,-8.14518,2.9175797,11.0954275,50.04547453703704,387.5445,43.210987,-8.553226,10.465489,5.8791747,390.04196,0.20125134,2023-02-19 01:05:29.999997
7.67863,-7.750358,2.618577,11.219909,50.04618055555556,382.76837,39.765648,-5.7487664,10.7177925,4.9191175,384.87164,0.16864164,2023-02-19 01:06:30.000003
6.884814,-8.686529,2.439138,11.349266,50.046875,387.2395,44.286804,-7.9262404,10.199309,6.224842,389.84433,0.19847897,2023-02-19 01:07:30.000000
7.3247747,-8.181358,1.571668,11.09311,50.04755787037037,383.36267,44.084297,-3.1077366,10.651338,6.005487,385.9016,0.20931326,2023-02-19 01:08:29.999996
7.3136845,-7.5005503,3.979642,11.206506,50.04826388888889,386.52002,37.61328,-13.014068,10.309139,2.8054924,388.56573,0.09273466,2023-02-19 01:09:30.000002
6.3893127,-7.641938,4.8442764,11.076531,50.04894675925926,389.811,40.993855,-14.972328,9.953956,4.3793836,392.24768,0.14307116,2023-02-19 01:10:29.999999
7.01046,-7.163819,4.972226,11.188828,50.0496412037037,388.5513,37.33016,-17.479532,9.925406,3.6761956,390.73163,0.11736229,2023-02-19 01:11:29.999995
6.691492,-7.930401,4.1043777,11.15855,50.05034722222222,388.70306,39.820038,-14.343118,10.093912,4.890805,391.0007,0.15965234,2023-02-19 01:12:30.000002
6.497044,-8.007077,4.3063912,11.17452,50.05103009259259,389.6866,41.01112,-14.693336,10.143279,4.821436,392.11462,0.15770593,2023-02-19 01:13:29.999998
6.4484754,-8.297582,3.9444494,11.224588,50.05172453703704,390.384,42.12892,-13.91949,10.146722,4.5128317,392.8975,0.14634737,2023-02-19 01:14:29.999995
6.62024,-8.0593,4.0133066,11.175264,50.05243055555555,389.29895,43.13584,-12.084971,10.326696,5.5853515,391.86838,0.18597184,2023-02-19 01:15:30.000001
7.237804,-8.116747,1.7742604,11.018865,50.05311342592593,387.04736,41.230988,-5.254298,11.544147,5.302602,389.2734,0.20301497,2023-02-19 01:16:29.999997
6.926733,-8.070474,2.9781702,11.044532,50.05381944444444,387.8671,41.87877,-10.368241,11.918741,5.4368997,390.25928,0.21391341,2023-02-19 01:17:30.000004
7.0781546,-7.6997504,3.7362404,11.106121,50.05451388888889,388.46658,39.904385,-11.826991,11.776083,5.1031895,390.69077,0.1961863,2023-02-19 01:18:30.000000
7.045135,-8.108125,2.8811646,11.121003,50.05519675925926,388.43686,40.785175,-8.307638,11.220438,4.473239,390.66052,0.16341615,2023-02-19 01:19:29.999997
7.342235,-8.0477495,2.967515,11.290741,50.055902777777774,386.2045,39.894016,-6.7364726,11.255884,4.5928717,388.32364,0.1632939,2023-02-19 01:20:30.000003
6.9022765,-8.029205,3.17644,11.05438,50.05659722222222,388.4876,42.282852,-10.046393,11.175965,5.342552,390.91122,0.19675054,2023-02-19 01:21:30.000000
7.135711,-8.083434,2.6642137,11.106679,50.05728009259259,388.18362,42.055305,-6.914077,11.321063,4.6096625,390.51642,0.1703487,2023-02-19 01:22:29.999996
6.584134,-8.397712,2.6027906,10.983938,50.05798611111111,391.58847,44.575115,-8.444308,11.108842,5.652252,394.2079,0.20956805,2023-02-19 01:23:30.000003
6.3045197,-8.673826,2.5779138,11.028502,50.05866898148148,392.8415,47.009296,-10.120115,10.918832,7.083089,395.77518,0.25604522,2023-02-19 01:24:29.999999
6.3903556,-8.669496,2.6269937,11.085932,50.05936342592592,388.69144,47.774033,-10.946342,10.617392,7.4788613,391.77155,0.2601716,2023-02-19 01:25:29.999995
6.325844,-8.849283,2.0077493,11.061518,50.060069444444444,387.75754,48.93363,-8.504209,11.050389,8.529668,390.92566,0.31019244,2023-02-19 01:26:30.000002
6.4386663,-8.693714,2.4202492,11.085788,50.06075231481481,388.46478,47.741547,-8.624001,11.032294,7.4378047,391.4827,0.26886138,2023-02-19 01:27:29.999998
5.8062496,-8.96822,3.287534,11.178076,50.06144675925926,393.2602,50.354584,-14.954502,10.576887,7.3708878,396.7545,0.25124335,2023-02-19 01:28:29.999995
6.426044,-8.798699,2.4050486,11.157751,50.062152777777776,389.18066,50.101723,-12.062623,10.791109,7.807215,392.5781,0.2724958,2023-02-19 01:29:30.000001
6.3416023,-8.983116,2.1629264,11.206718,50.062835648148145,387.37198,51.025265,-10.486185,11.517052,9.014491,390.85916,0.33287147,2023-02-19 01:30:29.999998
5.951241,-9.121569,1.9763513,11.069158,50.063541666666666,391.66202,50.88136,-9.825244,11.118396,9.216765,395.07587,0.33677703,2023-02-19 01:31:30.000004
6.6532946,-8.407384,2.940943,11.117535,50.064236111111114,387.25797,44.311924,-10.415085,10.9677305,5.7704964,389.92447,0.20618826,2023-02-19 01:32:30.000001
5.9676247,-8.751053,3.6524465,11.204188,50.06491898148148,391.25513,46.468864,-14.081642,10.233434,6.673513,394.25684,0.2190615,2023-02-19 01:33:29.999997
5.8436604,-9.009462,3.3854115,11.259653,50.065625,391.13223,47.648857,-11.809358,10.639192,6.600442,394.20102,0.2230399,2023-02-19 01:34:30.000004
5.9296083,-9.035266,2.5174098,11.09656,50.066319444444446,389.81805,47.72682,-9.454671,10.747163,7.8925695,392.8439,0.27738726,2023-02-19 01:35:30.000000
5.3220854,-9.725847,1.146971,11.145951,50.067002314814815,392.47754,52.680107,-8.064631,11.297305,10.342144,396.07983,0.37870592,2023-02-19 01:36:29.999996
5.926162,-9.211261,2.1107893,11.154468,50.067708333333336,388.99338,48.6922,-7.95776,11.454243,7.6177797,392.11212,0.28238913,2023-02-19 01:37:30.000003
5.9667993,-9.225215,1.5843502,11.100335,50.068391203703705,387.75323,48.99652,-7.911272,12.163146,8.685911,390.9169,0.34525508,2023-02-19 01:38:29.999999
5.564209,-9.49257,1.566295,11.114072,50.069085648148146,389.46564,48.81256,-7.13773,11.418469,8.19465,392.57785,0.30503017,2023-02-19 01:39:29.999996
7.2667828,-8.041102,2.904546,11.220599,50.06979166666667,382.45886,42.828968,-9.934772,10.997797,6.623405,384.9806,0.23297316,2023-02-19 01:40:30.000002
8.399363,-6.996063,2.9814165,11.330624,50.070474537037036,380.5398,40.026535,-4.592783,11.205765,5.8995724,382.6677,0.20735063,2023-02-19 01:41:29.999999
8.629132,-6.6815267,3.3915002,11.428342,50.071168981481485,380.27335,37.916893,-8.307139,10.960346,5.453414,382.25214,0.18427958,2023-02-19 01:42:29.999995
6.964211,-8.678216,2.227977,11.347931,50.071875,386.0217,49.4865,-8.752828,11.6065235,9.144413,389.2851,0.33187577,2023-02-19 01:43:30.000002
6.4161677,-8.961995,1.5775484,11.134327,50.07255787037037,386.50626,49.76086,-9.274358,12.090215,9.868151,389.81073,0.38751882,2023-02-19 01:44:29.999998
6.212939,-9.088132,1.9741665,11.184457,50.07326388888889,388.72537,49.430622,-9.337302,11.506783,8.946433,391.96692,0.331379,2023-02-19 01:45:30.000004
5.992098,-9.41357,1.1455358,11.217522,50.07395833333333,388.5005,53.021698,-6.207809,11.576671,10.834852,392.1519,0.4013875,2023-02-19 01:46:30.000001
5.967796,-9.511711,1.510846,11.330044,50.074641203703706,388.60278,53.10887,-9.274427,11.451385,10.343731,392.32617,0.3715549,2023-02-19 01:47:29.999997
5.430862,-9.77429,0.9839777,11.224937,50.07534722222222,390.38412,55.346237,-10.013643,11.605842,12.149454,394.41547,0.45062628,2023-02-19 01:48:30.000004
6.3590527,-9.318435,1.0445153,11.329687,50.07604166666667,385.38522,51.26456,-5.9736342,11.532131,10.9319105,388.8262,0.39547658,2023-02-19 01:49:30.000000
6.5624113,-9.101344,1.2004333,11.284535,50.07672453703704,386.26535,49.60292,-5.5278306,11.627072,9.759475,389.47662,0.35882306,2023-02-19 01:50:29.999997
6.6209364,-9.076763,0.92205936,11.272738,50.07743055555556,384.29498,49.902954,-2.2841437,11.8606205,9.322138,387.52856,0.3503604,2023-02-19 01:51:30.000003
6.8723774,-8.925458,0.89791185,11.300426,50.078125,383.72116,48.738358,-1.2686373,11.691804,9.509226,386.80862,0.35058072,2023-02-19 01:52:30.000000
6.8485265,-9.038798,0.5147373,11.351967,50.07880787037037,383.86386,50.01454,-0.29586628,11.975056,9.891472,387.1087,0.37012392,2023-02-19 01:53:29.999996
7.0254173,-8.989288,0.6452313,11.427165,50.07951388888889,382.40988,49.644196,-2.220694,11.439953,9.881144,385.6253,0.34858233,2023-02-19 01:54:30.000002
7.350854,-8.723893,0.7845124,11.4348955,50.08019675925926,380.2501,48.885002,-3.2701569,11.763879,9.980142,383.39493,0.36155456,2023-02-19 01:55:29.999999
6.853862,-9.013643,1.4270018,11.413042,50.0808912037037,383.22473,49.913857,-6.5864472,11.556773,9.833923,386.51807,0.351327,2023-02-19 01:56:29.999995
6.405099,-9.348334,0.6236533,11.349256,50.08159722222222,385.5824,51.706932,-5.4133053,11.866936,10.961571,389.07477,0.40665644,2023-02-19 01:57:30.000002
5.422346,-9.885744,1.1133304,11.330017,50.08228009259259,390.04382,58.07572,-8.599773,11.695745,13.474358,394.4503,0.49434003,2023-02-19 01:58:29.999998
7.6441226,-8.3008175,-1.1058939,11.338394,50.08297453703704,380.7197,46.51604,10.194561,12.302161,8.212104,383.6995,0.3164344,2023-02-19 01:59:29.999995
5.1847324,-10.040898,-1.2011625,11.364149,50.08368055555555,393.7309,58.16522,5.086704,12.556375,12.633017,398.05957,0.49459356,2023-02-19 02:00:30.000001
