ddoy B Bx By Bz Np Vth Vsw
273.175 6.52285 2.40445 -5.50134 2.53421 16.2635 21.4554 357.979
273.176 6.55851 2.57979 -5.46406 2.51197 16.0081 21.0504 359.979
273.177 6.49518 1.81116 -5.61133 2.71289 17.1203 23.729 358.506
273.179 6.89937 2.6852 -5.88807 2.25818 15.587 20.3015 364.52
273.18 7.0383 3.07528 -5.87433 2.26981 14.4985 20.7387 356.469
273.181 6.80419 3.29692 -5.59756 1.86975 16.6312 24.1077 351.301
273.182 6.86968 3.82558 -4.95459 1.0029 16.4175 23.1357 349.877
273.183 6.5099 3.38255 -4.71861 -2.4045 13.4446 27.8477 346.856
273.184 5.89024 3.18237 -1.75445 -4.19428 14.4366 31.6067 347.736
273.185 5.56113 2.08455 -0.29631 -5.05773 16.9417 30.9977 348.934
273.186 5.94789 1.10897 0.310204 -5.38511 18.2348 32.6166 351.684
273.187 5.91781 2.04792 2.71727 -4.82564 14.0097 28.6854 347.366
273.189 5.9125 2.02799 2.82706 -4.74183 15.7617 28.497 346.044
273.19 6.04246 1.34911 2.09485 -5.49568 15.2125 28.9553 347.187
273.191 5.80165 0.586684 2.43755 -5.07885 15.1878 29.3811 350.106
273.192 5.80731 0.154238 3.29862 -4.7322 14.2244 30.4693 348.856
273.193 5.90762 0.226738 3.13404 -4.99101 14.1428 29.8762 349.413
273.194 5.82193 -0.159061 3.31368 -4.72458 14.3284 29.9373 350.358
273.195 5.93664 0.770809 1.9045 -5.56007 14.7705 27.5665 350.055
273.196 6.07603 0.74262 1.90007 -5.66847 14.378 30.1704 348.832
273.197 5.64214 0.0504095 1.99088 -5.24342 16.1892 33.2705 350.352
273.199 5.632 -0.210373 1.83058 -5.30011 15.5078 29.6446 351.305
273.2 5.37145 -0.220112 2.02262 -4.95345 16.246 30.4043 353.139
273.201 5.1675 -0.665007 2.22272 -4.61405 15.824 30.3011 353.905
273.202 5.04073 -0.79718 2.09613 -4.51302 15.9777 29.9992 353.591
273.203 4.94154 -0.70838 1.81574 -4.53632 15.408 30.5583 351.62
273.204 4.88522 -0.843518 1.32063 -4.60954 15.9393 31.5778 354.184
273.205 5.12993 -0.562762 1.5132 -4.86359 15.8506 29.2079 354.294
273.206 5.11651 -0.480299 1.92225 -4.70709 15.9051 29.6079 353.203
273.207 5.17696 -0.204912 1.34198 -4.80457 14.9826 29.9433 352.39
273.209 5.45296 0.457364 -1.61994 -5.0875 14.8901 29.0149 350.914
273.21 5.63496 0.471815 -1.14179 -5.47631 14.7426 30.7045 352.402
273.211 5.55712 -0.17235 -0.112627 -5.52124 14.7713 31.1085 352.62
273.212 5.42052 -0.592614 1.37947 -5.10252 15.8533 32.8631 353.001
273.213 5.40482 0.22729 -0.967586 -5.18667 15.8388 29.4596 352.297
273.214 5.51288 0.462987 -1.70433 -5.2195 15.6153 28.2001 350.568
273.215 5.3983 0.940485 -1.66384 -5.02627 15.7981 29.0713 350.871
273.216 5.3502 1.65275 -1.90094 -4.70968 15.6778 29.0518 348.872
273.218 5.56738 1.84005 -2.29789 -4.7206 15.3837 27.8285 345.928
273.219 5.63314 1.98524 -2.37823 -4.70282 16.0615 28.4941 346.941
273.22 5.80864 2.08768 -2.62339 -4.73927 15.1202 27.5856 347.854
273.221 5.50793 1.8844 -2.99465 -4.17889 15.372 28.1253 345.371
273.222 5.08887 0.859614 -2.68246 -4.22784 16.0371 28.9019 346.818
273.223 5.01914 0.746927 -2.99449 -3.95343 16.1384 29.2742 346.454
273.224 5.01119 0.997791 -3.24998 -3.62405 15.4944 29.7443 346.408
273.225 4.90047 1.12054 -3.71805 -2.97246 15.5607 29.537 345.137
273.226 4.07296 1.20736 -3.20839 0.384647 17.3793 32.3983 344.672
273.228 3.83885 1.60514 -2.64909 2.23136 15.8653 32.6383 346.367
