Br,Bt,Bn,B,ddoy,Vr,Vt,Vn,Np,Tp,Vsw,Beta_p,date
-21.338476,6.514045,16.27714,27.61718,67.56215277777778,276.17035,8.603079,14.331601,39.513622,5.15226,276.6765,0.10748229,2022-03-08 13:29:30.000001
-21.182083,7.4080935,18.458574,29.056486,67.56283564814815,286.31613,7.189694,2.7693183,33.543396,5.068807,286.4198,0.08109192,2022-03-08 13:30:29.999998
-22.11567,4.949056,17.990242,28.935183,67.56354166666667,283.78683,5.2705817,5.8242927,34.308514,5.0188937,283.8966,0.08281488,2022-03-08 13:31:30.000004
-22.328074,6.8526797,16.541134,28.62012,67.56423611111111,286.289,9.362733,5.979951,34.858788,5.6211934,286.50677,0.09632719,2022-03-08 13:32:30.000001
-22.284273,3.6107893,18.56253,29.2266,67.56491898148148,288.4475,0.15954308,4.976619,32.674355,5.946269,288.49066,0.09158955,2022-03-08 13:33:29.999997
-21.627363,3.5711496,18.944448,28.972195,67.565625,291.46396,2.5138443,8.166391,34.82247,6.8631954,291.58957,0.11465002,2022-03-08 13:34:30.000004
-21.655678,4.3783736,17.580435,28.234911,67.56631944444445,286.4514,8.517524,9.1065235,37.401752,5.177175,286.72754,0.097805426,2022-03-08 13:35:30.000000
-21.94494,-0.21317343,17.867418,28.299656,67.56700231481481,283.37167,-7.236977,9.25686,34.62141,5.9513917,283.61725,0.10359814,2022-03-08 13:36:29.999996
-22.084139,1.3502787,18.064093,28.56298,67.56770833333333,289.459,1.4234282,6.292405,35.26352,5.6263127,289.54312,0.09792496,2022-03-08 13:37:30.000003
-20.381292,4.109803,19.023571,28.181267,67.5683912037037,292.4565,7.02821,15.115321,36.82373,6.2324715,292.93506,0.11636384,2022-03-08 13:38:29.999999
-18.397572,4.7657723,20.596657,28.025087,67.56908564814815,283.0317,3.6583977,18.906227,40.346073,5.4522333,283.6933,0.112780154,2022-03-08 13:39:29.999996
-22.461803,1.7730111,15.413556,27.29934,67.56979166666666,277.80676,3.50935,10.77059,40.54264,5.574705,278.042,0.12211827,2022-03-08 13:40:30.000002
-23.14211,1.2450776,15.007302,27.610264,67.57047453703704,276.64566,0.92932886,5.883794,39.83083,5.961858,276.71182,0.12543271,2022-03-08 13:41:29.999999
-22.294767,4.2081394,15.911185,27.711567,67.57116898148148,277.4366,5.564626,7.788016,37.39386,5.428728,277.60315,0.10644546,2022-03-08 13:42:29.999995
-23.277689,2.822928,14.308466,27.469109,67.571875,273.6382,1.8445553,3.469952,37.93457,5.460849,273.67862,0.110549584,2022-03-08 13:43:30.000002
-23.454676,5.7600555,13.109994,27.480392,67.57255787037037,274.61838,7.8600507,1.5975118,40.636757,5.210656,274.74045,0.11290587,2022-03-08 13:44:29.999998
-21.163366,3.3271587,16.810898,27.231678,67.57326388888889,279.93735,7.226401,14.675199,41.086323,5.2018867,280.41882,0.11605405,2022-03-08 13:45:30.000004
-21.572842,3.1325912,16.82707,27.538172,67.57395833333334,278.2334,7.346048,12.743912,39.75811,5.3577857,278.62256,0.11310761,2022-03-08 13:46:30.000001
-19.86558,4.029235,18.01682,27.119768,67.5746412037037,278.66623,3.076524,15.480041,41.70826,5.753456,279.12048,0.13138019,2022-03-08 13:47:29.999997
-17.122414,6.1965876,20.761562,27.615526,67.57534722222222,285.54813,10.21166,13.237734,48.139114,6.2090387,286.0454,0.15782171,2022-03-08 13:48:30.000004
-20.514061,-1.4388841,17.305145,26.87685,67.57604166666667,288.23697,1.828016,13.134107,44.247993,5.707911,288.54605,0.14078778,2022-03-08 13:49:30.000000
-11.197169,8.543139,23.431175,27.338284,67.57672453703704,308.72345,16.732204,18.241793,54.663887,6.3968186,309.7155,0.18839659,2022-03-08 13:50:29.999997
-19.71927,0.6587934,20.005072,28.097803,67.57743055555555,291.3288,-3.0786963,12.742285,40.280163,6.7489657,291.624,0.13865472,2022-03-08 13:51:30.000003
-18.031912,2.7378016,22.508322,28.970156,67.578125,295.621,2.0736299,9.846265,38.679665,5.817969,295.79694,0.10797007,2022-03-08 13:52:30.000000
-17.355574,1.3807511,23.231577,29.031511,67.57880787037037,296.16687,0.67489505,5.0894437,36.72596,6.132665,296.2143,0.107605405,2022-03-08 13:53:29.999996
-16.725012,2.4587846,23.564318,29.00084,67.57951388888888,296.91183,-3.4219418,3.807282,35.78705,6.597794,296.9566,0.1130458,2022-03-08 13:54:30.000002
-20.134438,1.1090307,21.198584,29.257572,67.58019675925927,285.76123,-14.001782,3.5392208,33.255997,5.9043446,286.12662,0.09236683,2022-03-08 13:55:29.999999
-20.726366,0.21795033,20.391027,29.076172,67.5808912037037,281.64572,-18.968695,2.862213,34.038372,5.453169,282.3031,0.08840854,2022-03-08 13:56:29.999995
-21.097822,-1.2909765,19.861511,29.004557,67.58159722222223,282.88348,-10.33838,4.325803,30.763233,4.850282,283.1065,0.07141961,2022-03-08 13:57:30.000002
